Description,Rule set,Rule,,,,,,Rule set,Rule
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'tea_stu_paper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'sym_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'gra_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'paperid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'articleid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,,,,
Avoid really long classes.,Code Size,ExcessiveClassLength,,,,,,,
The type has an NCSS line count of 2425,Code Size,NcssTypeCount,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sql' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'infoList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'researchInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'researchInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'researchInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'sql' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'infoList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'updateInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql3' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'picName' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'updateInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'deleteInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'changeInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql3' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaType' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'inf' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'rankInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherEduInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'newEduCode' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherExpInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherSpeInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherAwardInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'awaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'awaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'awaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherPlanInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'planInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'planInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'planInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherStuPaper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherStuTopic' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaStuTopic' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'issuePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'issuePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'issuePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'meetingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'meetingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'meetingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
